drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video,x_drift_um,x_dedrift_um
drop1,28,2.8,610.4660331321434,526.5018299730319,1453.5196248876332,1253.600857165789,brownian,0.2229518966989449,1453.2966729909342
drop1,29,2.9,615.2057389694539,528.1331379203949,1464.8048644862697,1257.4850013884602,brownian,0.23091446443819297,1464.5739500218315
drop1,30,3.0,608.7770057604371,527.9564107132253,1449.4980507156006,1257.0642139081892,brownian,0.238877032177441,1449.2591736834231
drop1,31,3.1,609.7934273700533,525.7865684549548,1451.918150568097,1251.8978194912472,brownian,0.24683959991668902,1451.6713109681803
drop1,32,3.2,610.3084479371316,527.764928260999,1453.1444145383102,1256.6082941894385,brownian,0.25480216765593705,1452.8896123706543
drop1,33,3.3,609.8410866799927,528.4277363862136,1452.0316273850626,1258.1864403355744,brownian,0.2627647353951851,1451.7688626496674
drop1,34,3.4,611.6170508024617,525.4483226740679,1456.2601979606611,1251.0924562869554,brownian,0.2707273031344331,1455.9894706575267
drop1,35,3.5,610.2307759985923,524.0479793536277,1452.9594776526483,1247.7582388409876,brownian,0.27868987087368113,1452.6807877817746
drop1,36,3.6,612.438188350315,525.9353318805584,1458.2153264621,1252.2520252076092,brownian,0.2866524386129292,1457.928674023487
drop1,37,3.7,611.6875248180013,526.1374586366644,1456.427996591661,1252.7332890138978,brownian,0.29461500635217724,1456.1333815853088
drop1,38,3.8,604.3907957244655,526.7006828978622,1439.0544846199523,1254.0743259798098,brownian,0.30257757409142527,1438.751907045861
drop1,39,3.9,607.3001186980696,528.5767789092272,1445.9815826201036,1258.5413105828698,brownian,0.3105401418306733,1445.671042478273
drop1,40,4.0,606.359707870902,528.3715078453885,1443.7424644406174,1258.0525601798697,brownian,0.3185027095699213,1443.4239617310475
drop1,41,4.1,605.5489931116311,528.7702119244586,1441.8121525987935,1259.001874592136,brownian,0.32646527730916935,1441.4856873214844
drop1,42,4.2,607.9604486051771,527.8040022618749,1447.5538281289266,1256.7013293855239,brownian,0.3344278450484174,1447.2194002838783
drop1,43,4.3,609.5758500570302,529.5080304571658,1451.4000989857886,1260.7586205185116,brownian,0.3423904127876654,1451.057708573001
drop1,44,4.4,610.346359223301,531.4043689320388,1453.2346813106794,1265.2738024271841,brownian,0.3503529805269135,1452.8843283301526
drop1,45,4.5,610.6400351442378,528.5394933372382,1453.9339236784301,1258.452533635964,brownian,0.3583155482661615,1453.575608130164
drop1,46,4.6,610.632190713618,529.9305079464008,1453.9152460891244,1261.76453942038,brownian,0.3662781160054095,1453.548967973119
drop1,47,4.7,610.8965056058278,529.5656479426327,1454.5445798474757,1260.8958077514085,brownian,0.3742406837446576,1454.1703391637311
